"","no.users","Discipline","pc.pro","Business","code.client","JD.Second","timespan.cbrt","inv.mlsto.log","client.totinv.log","pc.majpos.log","code.contact","Billing.Type","majority.pos","return.pdol","mlsto","Year"
"1206",4,"Structural",54.94,"engineer","C2887","offices",6.85412400183262,9.12184944524439,10.7442309075797,3.89792408104864,"CN1525","Hourly Rate","seniorpro",0.688188188188188,"2010.180",2010
"1207",4,"Structural",36.92,"architect","C2875","architectural house",7.68573284341664,9.17186709681689,9.5446631573241,4.14440376209484,"CN1038",NA,"seniortech",0.355504587155963,"2010.181",2010
"1208",2,"Civil",70.59,"developer/real estate","C2648",NA,5.09164336965949,8.05790923847412,7.76429600645052,4.25688849140738,NA,NA,"director",0.281938325991189,"2010.183",2010
"1209",1,"Structural",100,"builder","C2297","refurb/renovation",2.92401773821287,7.64986348377246,10.4423570452036,4.60517018598809,"CN1902","Hourly Rate","seniorpro",1.69686411149826,"2010.186",2010
"1210",7,"Structural",89.62,"architect","C2093",NA,8.41554189895193,10.2269004921222,9.97092327896841,4.43497480899198,NA,NA,"midpro",-0.318543726998996,"2010.187",2010
"1211",8,"Structural",44.99,"architect","C2053",NA,8.53160093955469,10.3482996592217,10.7663823599921,3.84652402319545,NA,NA,"seniortech",-0.324696860143399,"2010.188",2010
"1212",3,"Structural",74.67,"developer/real estate","C2360",NA,3.53034833532606,8.93566630634603,8.03241535913174,4.15888308335967,"CN1191",NA,"midpro",1.1505376344086,"2010.189",2010
"1213",3,"Structural",41.98,"school","C2726",NA,4.9460874432487,8.65273483665285,8.16799026231621,4.06078777869326,"CN1117","Hourly Rate","seniortech",0.426639621365788,"2010.192",2010
"1214",2,"Structural",100,"landscape arch","C2257","school",5.37168535494483,8.44254025967944,8.51479030679993,4.60517018598809,"CN1440",NA,"director",0.590697674418605,"2010.193",2010
"1215",3,"Structural",45.09,"school","C2379",NA,3.8485011312768,8.57592544278547,8.01052557779891,4.00551334851548,NA,"Hourly Rate","seniortech",0.802583025830258,"2010.194",2010
"1216",8,"Structural",78.19,"builder","C2297","school",6.19715443474113,10.080798610649,10.4423570452036,3.38167471517329,"CN1902","Fixed Quote","seniorpro",0.320033000825021,"2010.195",2010
"1217",14,"Civil",21.05,"developer/real estate",NA,NA,8.1782887882558,12.0427092226752,11.9607083443666,4.25844557290253,NA,"Fixed Quote","seniortech",-0.0867121023104477,"2010.197",2010
"1218",2,"Structural",31.18,"architect","C2236",NA,1.91293118277239,9.08162021896911,10.6552538157508,4.23149440036933,NA,NA,"seniortech",0.557692307692308,"2010.199",2010
"1219",1,"Structural",100,"engineer","C2064",NA,2.0800838230519,7.20082712737066,7.17491571571312,4.60517018598809,"CN1228","Hourly Rate","seniorpro",0.652173913043478,"2010.204",2010
"1220",1,"Structural",100,"manufacturer/supplier","C2206","product development",4.90486813152402,7.983007930301,8.59460783336366,4.60517018598809,"CN1096","Hourly Rate","seniorpro",0.764705882352941,"2010.205",2010
"1221",1,"Structural",100,"architect","C2641",NA,0,6.00892690427899,9.37352158211771,4.60517018598809,"CN1571",NA,"seniorpro",0.764705882352941,"2010.207",2010
"1222",3,"Structural",97.62,"university","C2456",NA,5.53965825675446,8.18821378092855,10.441093169772,4.2348308798553,NA,"Hourly Rate","midpro",0.59375,"2010.208",2010
"1223",1,"Structural",100,"manufacturer/supplier","C2206",NA,7.38643729530274,10.2439991259962,8.59460783336366,4.60517018598809,"CN1096","Hourly Rate","director",0.788674033149171,"2010.211",2010
"1224",1,"Structural",100,"architect","C2641","university",0,5.78578335296478,9.37352158211771,4.60517018598809,"CN1571","Hourly Rate","seniorpro",0.764705882352941,"2010.215",2010
"1225",1,"Structural",100,"builder","C2113","heritage",4.12128529980856,9.00465917783299,8.32320059219371,4.60517018598809,NA,NA,"director",0.420454545454545,"2010.217",2010
"1226",1,"Structural",100,"person",NA,"architectural house",8.0207793141168,6.82723722779295,6.74523634948436,4.60517018598809,NA,NA,"director",0.517857142857143,"2010.218",2010
"1227",1,"Structural",100,"builder","C2113",NA,0,7.03377304270749,8.32320059219371,4.60517018598809,NA,NA,"director",0.30625,"2010.219",2010
"1228",1,"Structural",100,"builder","C2113","architectural house",4.12128529980856,7.39522126539888,8.32320059219371,4.60517018598809,NA,NA,"director",1.08333333333333,"2010.221",2010
"1229",5,"Structural",60.22,"person",NA,"architectural house",11.0110082635383,9.80096445049556,9.71896357218697,4.05992563535164,NA,NA,"seniorpro",-0.227514780805577,"2010.222",2010
"1230",3,"Structural",100,"business","C2002","wharf/port",4.46474509558454,9.20323677520195,11.1804610662265,4.519503359231,"CN1218","Hourly Rate","seniorpro",0.650800812091135,"2010.223",2010
"1231",2,"Structural",25,"school","C2806",NA,0,6.52772069769416,8.23462070941196,4.31748811353631,NA,"Hourly Rate","seniortech",0.465116279069767,"2010.224",2010
"1232",2,"Structural",100,"manufacturer/supplier","C2854","sign",5.98142402972088,8.04057778212248,7.90557069678047,4.57006100887452,"CN1398","Hourly Rate","midpro",0.450856055802156,"2010.225",2010
"1233",2,"Structural",100,"architect","C2236","architectural house",4.61043629205845,9.08162021896911,10.6552538157508,4.59279391492004,"CN1876","Fixed Quote","seniorpro",0.158798283261803,"2010.228",2010
"1234",2,"Structural",100,"gov","C2921","report",2.35133468772076,8.12758915911211,8.03268487596762,4.60517018598809,NA,"Fixed Quote","director",0.5,"2010.229",2010
"1235",2,"Structural",100,"builder",NA,NA,3.10723250595386,6.70207408483894,6.62007320653036,3.99911771227908,NA,"Hourly Rate","midpro",0.2,"2010.231",2010
"1236",2,"Structural",100,"builder","C2491","dining/retail",3.58304787101595,6.88439564163289,7.63034960506481,4.60517018598809,NA,"Fixed Quote","director",0.621621621621622,"2010.232",2010
"1237",4,"Structural",58.62,"architect","C2314","extension",5.06579701910089,8.08836844595883,10.3335464065589,4.05126307251965,"CN1848","Fixed Quote","director",0.266490765171504,"2010.233",2010
"1238",3,"Structural",29.41,"person",NA,"extension",6.43927669563891,7.89194796478538,7.80994708647679,4.25688849140738,NA,"Fixed Quote","midtech",0.881679389312977,"2010.234",2010
"1239",6,"Structural",99.29,"business","C2002","wharf/port",7.15309009504067,10.3480394269246,11.1804610662265,3.92789635458444,"CN1218","Hourly Rate","midpro",0.703910660895229,"2010.236.1",2010
"1240",6,"Structural",99.29,"building services",NA,"wharf/port",7.15309009504067,8.21205991830138,11.6490321262421,3.92789635458444,NA,"Hourly Rate","midpro",0.654080389768575,"2010.236.10",2010
"1241",6,"Structural",99.29,"business","C2002","wharf/port",7.15309009504067,7.67411483181759,11.1804610662265,3.92789635458444,"CN1218","Hourly Rate","midpro",0.653806047966632,"2010.236.11",2010
"1242",6,"Structural",99.29,"business","C2002","wharf/port",7.15309009504067,8.4927218252143,11.1804610662265,3.92789635458444,"CN1218","Hourly Rate","midpro",0.591150442477876,"2010.236.12",2010
