"","X","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol","f.rpdol","log","rf","boost","norm.log","norm.rf","norm.boost"
"163",163,3,"Structural",26.16,"developer/real estate","hosp_health_carpark",10.2151545875267,10.9548149934773,4.21331208128614,"Hourly Rate","director",-0.158708055433231,2004,"9m-1.5y","8k-60k","C2572",NA,"2004.165",1,"loss",0.0905178321983919,0.2,0.109122103436433,0.448998318782454,0.447213595499958,-2.2152878087125
"164",164,2,"Structural",48.53,"architect","edu_exten_community",9.60987705896811,8.93047169529196,3.99911771227908,"Hourly Rate","seniorpro",0.326977223941345,2004,"9m-1.5y","8k-60k","C2056",NA,"2004.166",0,"profit",0.106536231783884,0.249,0.156384907535795,0.474059052183197,0.498998997994986,-1.85543495465901
"165",165,2,"Structural",43.96,"architect","residential",8.92842591817136,8.93047169529196,3.96328629936569,"Fixed Quote","director",0.174004192872117,2004,"9m-1.5y","2.5k-8k","C2056",NA,"2004.167",0,"profit",0.386831807902021,0.195,0.284165958372716,0.72863057704448,0.441588043316392,-1.25819685102571
"166",166,2,"Structural",50.64,"architect","residential",10.559797596915,9.5446631573241,3.92474177783592,"Fixed Quote","director",0.341011615490226,2004,">3y","8k-60k","C2875",NA,"2004.168",0,"profit",0.194551178746226,0.14,0.132661702354047,0.579443757979894,0.374165738677394,-2.01995298250779
"167",167,2,"Structural",32.35,"architect","residential",8.10789829884876,8.36603536187465,4.28040910529489,"Fixed Quote","seniorpro",0.0119331742243437,2004,"2.5m-9m","2.5k-8k","C2351",NA,"2004.169",0,"profit",0.358617010639044,0.346,0.23129884520692,0.71046653899663,0.58821764679411,-1.46404470237753
"168",168,2,"Civil",18.18,"architect","art_facade_awn_memb",7.91349804973319,7.6879146698647,4.60517018598809,"Hourly Rate","director",1.22351082802548,2004,">3y","2.5k-8k",NA,NA,"2004.171",0,"profit",0.260738152136861,0.378,0.294247674739213,0.638853866771975,0.614817045957576,-1.2233334352036
"169",169,3,"Structural",24.8,"biz_bldgserv_internal","edu_exten_community",8.66805302508879,9.03190126869645,4.24420031776648,"Hourly Rate","seniorpro",0.0351366424986057,2004,"1.5y-3y","2.5k-8k","C2516",NA,"2004.172",0,"profit",0.324583659711695,0.389,0.535179408736851,0.687240720097223,0.623698645180507,-0.625153244867807
"170",170,2,"Water",100,"road_rail_gov_util","civBldg_subdiv_sewer",7.47266396445425,7.24708058458576,4.47597224751641,"Fixed Quote","director",-0.0701986754966887,2004,"2.5m-9m","600-2.5k",NA,NA,"2004.173",1,"loss",0.375839724587833,0.478,0.234690982001117,0.721662647181721,0.691375440697744,-1.44948560037799
"171",171,2,"Structural",19.75,"architect","residential",8.23195094751874,8.93047169529196,4.31748811353631,"Fixed Quote","director",0.406964474147028,2004,"9m-1.5y","2.5k-8k","C2056",NA,"2004.174",0,"profit",0.438223933637246,0.289,0.252516806901678,0.759565733922394,0.537587202228624,-1.37627747049503
"172",172,1,"Structural",100,"biz_bldgserv_internal","residential",5.07189419387244,9.03190126869645,4.60517018598809,"Fixed Quote","director",-0.151533333333333,2004,"1d-3wk","100-600","C2516",NA,"2004.177",1,"loss",0.121092433426348,0.04,0.070386795555885,0.494734658220909,0.2,-2.65374959653694
